row,column,row_label,column_label,case_id,wmape,annotation,normalized_color,red,green,blue,alpha,text_color,highlight_max
1,5,15,Bayside,nyc_qn_bayside,0.023894259718158093,2.4%,0.45343866224276358,0.95578623606305269,0.98231449442522112,0.68004613610149955,1,black,False
1,6,15,Riverdale,nyc_bx_riverdale,0.0281780103394807,2.8%,0.5428087399501712,0.9983852364475202,0.94994232987312577,0.66505190311418683,1,black,False
1,7,15,Financial District,nyc_mn_fidi,0.03551025985038106,3.6%,0.66692910533025884,0.99346405228758172,0.7477124183006536,0.43529411764705883,1,black,False
1,8,15,Greenridge,nyc_si_greenridge,0.033348706380425891,3.3%,0.63033831473037827,0.99484813533256444,0.8169165705497885,0.49342560553633213,1,black,False
1,9,15,Midtown,nyc_mn_midtown,0.038655545222507678,3.9%,0.72017251569601748,0.98454440599769322,0.62737408688965779,0.35501730103806228,1,black,False
1,10,15,Latitude mean,,0.021755544433886952,2.2%,0.39669321383040929,0.8928873510188392,0.95709342560553645,0.5979238754325259,1,black,False
2,0,30,Red Hook,nyc_bk_red_hook,0.008659214036236226,0.9%,0.049214918595660864,0.28742791234140713,0.41499423298731258,0.68512110726643605,1,white,False
2,1,30,Long Island City,nyc_qn_long_island_city,0.011481659350416572,1.1%,0.12410142927353897,0.2400615148019993,0.58239138792772016,0.72087658592848902,1,black,False
2,2,30,Co-op City,nyc_bx_coop_city,0.013812794799290092,1.4%,0.18595226436557094,0.3680123029604,0.72510572856593625,0.66182237600922722,1,black,False
2,3,30,Jackson Heights,nyc_qn_jackson_heights,0.014103653120068763,1.4%,0.19366946073968991,0.38400615148020001,0.74294502114571315,0.65444059976931945,1,black,False
2,4,30,Park Slope,nyc_bk_park_slope,0.017066217906076368,1.7%,0.27227369032976523,0.59100346020761263,0.83552479815455605,0.64429065743944636,1,black,False
2,5,30,Bayside,nyc_qn_bayside,0.026698775031852948,2.7%,0.51776823545111772,0.99930795847750864,0.97854671280276828,0.71303344867358731,1,black,False
2,6,30,Riverdale,nyc_bx_riverdale,0.028930326546171552,2.9%,0.55554395338187612,0.9977700884275279,0.93087274125336406,0.63306420607458669,1,black,False
2,7,30,Financial District,nyc_mn_fidi,0.037036568071535492,3.7%,0.69276646040262557,0.99238754325259515,0.69388696655132642,0.39008073817762401,1,black,False
2,8,30,Greenridge,nyc_si_greenridge,0.03624995394365587,3.6%,0.67945065154745632,0.99300269127258745,0.72464436755094197,0.41591695501730103,1,black,False
2,9,30,Midtown,nyc_mn_midtown,0.039930669763880162,4.0%,0.74175783187285815,0.97762399077277973,0.57739331026528262,0.33194925028835065,1,black,False
2,10,30,Latitude mean,,0.023396983256918406,2.3%,0.44024467799180644,0.94040753556324497,0.97616301422529805,0.65605536332179937,1,black,False
