latitude,cell_hash,method,feature,n_exploratory_periods,scope,algorithm,ratio,kmeans_threads,segment,level,n_cases,error_numerator,true_signal,cost_ratio_mean,wmape,family,color,line_style,marker,selected
15,0dfbc6fb684fecfc,F1 m=3 r=2%,F1,3,S2,kmeans,0.02,4,all,building,10,429138.27807508042,5601164.7013833458,0.17547596078757602,0.076615900612437643,SF,#B279A2,solid,circle,False
15,d8cd672cd8470116,F1 m=3 r=5%,F1,3,S2,kmeans,0.050000000000000003,4,all,building,10,287560.51896112139,5601164.7013833458,0.1999830977657388,0.051339414977406614,SF,#B279A2,solid,circle,False
15,c5565005198482df,F1 m=3 r=10%,F1,3,S2,kmeans,0.10000000000000001,4,all,building,10,208306.37764757001,5601164.7013833458,0.24209203063112605,0.037189832606801157,SF,#B279A2,solid,circle,False
15,9473b128e73baa7f,F1 m=3 r=20%,F1,3,S2,kmeans,0.20000000000000001,4,all,building,10,133780.34825320315,5601164.7013833458,0.32638368693608905,0.023884380371847088,SF,#B279A2,solid,circle,True
15,17e14e38b27d877e,F1 m=3 r=35%,F1,3,S2,kmeans,0.34999999999999998,4,all,building,10,77012.318160480543,5601164.7013833458,0.45256525538489339,0.013749340050911277,SF,#B279A2,solid,circle,False
15,5efbca017834c43c,F1 m=3 r=50%,F1,3,S2,kmeans,0.5,4,all,building,10,43876.29724696101,5601164.7013833458,0.57892065226075817,0.007833423865597931,SF,#B279A2,solid,circle,False
30,6cd52c9bc8413fd0,F2 m=0 r=1%,F2,0,S2,kmeans,0.01,4,all,building,10,1065586.4486106311,4849124.1756236907,0.011759737012504018,0.21974822875588171,MF,#4C78A8,solid,circle,False
30,c84bdea16f32f98f,F2 m=0 r=2%,F2,0,S2,kmeans,0.02,4,all,building,10,892463.43301649974,4849124.1756236907,0.020877703435246517,0.18404631448764905,MF,#4C78A8,solid,circle,False
30,92509a4487fb049e,F2 m=0 r=5%,F2,0,S2,kmeans,0.050000000000000003,4,all,building,10,687898.57888058014,4849124.1756236907,0.04997992859681482,0.14186037601153062,MF,#4C78A8,solid,circle,False
30,84910c2b0412848d,F2 m=0 r=10%,F2,0,S2,kmeans,0.10000000000000001,4,all,building,10,562613.87378940592,4849124.1756236907,0.099984286374462231,0.1160238124273324,MF,#4C78A8,solid,circle,False
30,031f112e5c4cf361,F2 m=0 r=20%,F2,0,S2,kmeans,0.20000000000000001,4,all,building,10,434203.12224577955,4849124.1756236907,0.20008062823660575,0.089542586768245155,MF,#4C78A8,solid,circle,False
30,3707057ec933dfea,F2 m=0 r=35%,F2,0,S2,kmeans,0.34999999999999998,4,all,building,10,321155.94485162303,4849124.1756236907,0.34992124076956094,0.066229680499018395,MF,#4C78A8,solid,circle,False
30,4acb6086578a45d2,F2 m=0 r=50%,F2,0,S2,kmeans,0.5,4,all,building,10,248850.86684459928,4849124.1756236907,0.49996827455965037,0.051318724336976228,MF,#4C78A8,solid,circle,False
30,910b849b9f88b2ce,F3 m=1 r=1%,F3,1,S2,kmeans,0.01,4,all,building,10,806930.71409608773,4849124.1756236907,0.063772382432898539,0.16640751708370119,MF+SF,#F58518,dashed,square,False
30,eb7cf93e607fec24,F3 m=1 r=2%,F3,1,S2,kmeans,0.02,4,all,building,10,644020.46127502015,4849124.1756236907,0.072410455886023017,0.13281170742388479,MF+SF,#F58518,dashed,square,False
30,2ee080f94d11e0eb,F3 m=1 r=5%,F3,1,S2,kmeans,0.050000000000000003,4,all,building,10,449665.12930470303,4849124.1756236907,0.099980984986456148,0.092731205269014877,MF+SF,#F58518,dashed,square,False
30,1409585c91dc73a1,F3 m=1 r=10%,F3,1,S2,kmeans,0.10000000000000001,4,all,building,10,340130.54506216367,4849124.1756236907,0.14735353446001684,0.070142675820096173,MF+SF,#F58518,dashed,square,False
30,b24801b3365fed68,F3 m=1 r=20%,F3,1,S2,kmeans,0.20000000000000001,4,all,building,10,235436.29347055196,4849124.1756236907,0.24218164780310017,0.048552333358275017,MF+SF,#F58518,dashed,square,False
30,785553f0c30b5763,F3 m=1 r=35%,F3,1,S2,kmeans,0.34999999999999998,4,all,building,10,147048.9319428454,4849124.1756236907,0.38413591230800509,0.030324843542273709,MF+SF,#F58518,dashed,square,False
30,188dc42bd4bc80fd,F3 m=1 r=50%,F3,1,S2,kmeans,0.5,4,all,building,10,89863.18906662181,4849124.1756236907,0.52628573379335308,0.018531839114032108,MF+SF,#F58518,dashed,square,False
30,ecd7558669a1757f,F1 m=1 r=1%,F1,1,S2,kmeans,0.01,4,all,building,10,830588.84438379505,4849124.1756236907,0.063772382432898539,0.17128636312493797,SF,#F58518,solid,circle,False
30,6574c7bb9c60262a,F1 m=1 r=2%,F1,1,S2,kmeans,0.02,4,all,building,10,695565.15096256463,4849124.1756236907,0.072410455886023017,0.1434413980279442,SF,#F58518,solid,circle,False
30,a1a13488340e570a,F1 m=1 r=5%,F1,1,S2,kmeans,0.050000000000000003,4,all,building,10,546975.21942283551,4849124.1756236907,0.099980984986456148,0.11279876522289388,SF,#F58518,solid,circle,False
30,a23e34b2f9a36a6e,F1 m=1 r=10%,F1,1,S2,kmeans,0.10000000000000001,4,all,building,10,458109.27942827088,4849124.1756236907,0.14735353446001684,0.09447258161198753,SF,#F58518,solid,circle,False
30,a1c635bdc08218d7,F1 m=1 r=20%,F1,1,S2,kmeans,0.20000000000000001,4,all,building,10,355336.00224254822,4849124.1756236907,0.24218164780310017,0.0732783878847246,SF,#F58518,solid,circle,False
30,048c516146700bb1,F1 m=1 r=35%,F1,1,S2,kmeans,0.34999999999999998,4,all,building,10,264516.03069495468,4849124.1756236907,0.38413591230800509,0.054549238401578534,SF,#F58518,solid,circle,False
