method,metric,latitude,orientation_bin,center_deg,error_band,band_label,count,bin_total,proportion,bottom,red,green,blue,alpha
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,0,0–5%,389,924,0.42099567099567098,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,1,5–10%,121,924,0.13095238095238096,0.42099567099567098,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,2,10–15%,46,924,0.049783549783549784,0.55194805194805197,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,3,15–20%,28,924,0.030303030303030304,0.60173160173160178,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,4,≥20%,138,924,0.14935064935064934,0.63203463203463206,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,23,345,5,not lit,202,924,0.21861471861471862,0.7813852813852814,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,0,0–5%,114,290,0.39310344827586208,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,1,5–10%,39,290,0.13448275862068965,0.39310344827586208,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,2,10–15%,16,290,0.055172413793103448,0.52758620689655178,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,3,15–20%,20,290,0.068965517241379309,0.58275862068965523,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,4,≥20%,54,290,0.18620689655172415,0.65172413793103456,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,15,0,0,5,not lit,47,290,0.16206896551724137,0.83793103448275874,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,0,0–5%,285,637,0.44740973312401883,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,1,5–10%,99,637,0.15541601255886969,0.44740973312401883,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,2,10–15%,50,637,0.078492935635792779,0.60282574568288849,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,3,15–20%,28,637,0.043956043956043959,0.68131868131868123,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,4,≥20%,91,637,0.14285714285714285,0.72527472527472514,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,15,1,15,5,not lit,84,637,0.13186813186813187,0.86813186813186793,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,15,2,30,0,0–5%,595,1703,0.34938344098649443,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,15,2,30,1,5–10%,320,1703,0.18790369935408102,0.34938344098649443,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,15,2,30,2,10–15%,189,1703,0.11098062243100411,0.53728714034057545,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,15,2,30,3,15–20%,93,1703,0.054609512624779803,0.6482677627715796,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
