latitude,direction,band,label,count,total,proportion,bottom,color
30,255,3,15–20%,30,815,0.03680981595092025,0.6871165644171779,"rgb(251,157,89)"
30,255,4,≥20%,136,815,0.1668711656441718,0.7239263803680982,"rgb(189,23,38)"
30,255,5,not lit,89,815,0.10920245398773006,0.89079754601227,"rgb(140,140,140)"
30,270,0,0–5%,82,265,0.30943396226415093,0,"rgb(12,127,67)"
30,270,1,5–10%,35,265,0.1320754716981132,0.30943396226415093,"rgb(150,210,104)"
30,270,2,10–15%,17,265,0.06415094339622641,0.44150943396226416,"rgb(254,255,190)"
30,270,3,15–20%,14,265,0.052830188679245285,0.5056603773584906,"rgb(251,157,89)"
30,270,4,≥20%,86,265,0.32452830188679244,0.5584905660377358,"rgb(189,23,38)"
30,270,5,not lit,31,265,0.1169811320754717,0.8830188679245283,"rgb(140,140,140)"
30,285,0,0–5%,244,609,0.4006568144499179,0,"rgb(12,127,67)"
30,285,1,5–10%,91,609,0.14942528735632185,0.4006568144499179,"rgb(150,210,104)"
30,285,2,10–15%,34,609,0.05582922824302135,0.5500821018062397,"rgb(254,255,190)"
30,285,3,15–20%,19,609,0.031198686371100164,0.6059113300492611,"rgb(251,157,89)"
30,285,4,≥20%,117,609,0.1921182266009852,0.6371100164203612,"rgb(189,23,38)"
30,285,5,not lit,104,609,0.17077175697865354,0.8292282430213465,"rgb(140,140,140)"
30,300,0,0–5%,521,1781,0.29253228523301517,0,"rgb(12,127,67)"
30,300,1,5–10%,244,1781,0.13700168444693991,0.29253228523301517,"rgb(150,210,104)"
30,300,2,10–15%,145,1781,0.08141493542953397,0.42953396967995505,"rgb(254,255,190)"
30,300,3,15–20%,85,1781,0.04772599663110612,0.510948905109489,"rgb(251,157,89)"
30,300,4,≥20%,301,1781,0.16900617630544637,0.5586749017405951,"rgb(189,23,38)"
30,300,5,not lit,485,1781,0.27231892195395846,0.7276810780460414,"rgb(140,140,140)"
30,315,0,0–5%,41,190,0.21578947368421053,0,"rgb(12,127,67)"
30,315,1,5–10%,32,190,0.16842105263157894,0.21578947368421053,"rgb(150,210,104)"
30,315,2,10–15%,25,190,0.13157894736842105,0.38421052631578945,"rgb(254,255,190)"
30,315,3,15–20%,15,190,0.07894736842105263,0.5157894736842105,"rgb(251,157,89)"
30,315,4,≥20%,51,190,0.26842105263157895,0.5947368421052631,"rgb(189,23,38)"
30,315,5,not lit,26,190,0.1368421052631579,0.8631578947368421,"rgb(140,140,140)"
30,330,0,0–5%,94,442,0.21266968325791855,0,"rgb(12,127,67)"
30,330,1,5–10%,57,442,0.12895927601809956,0.21266968325791855,"rgb(150,210,104)"
30,330,2,10–15%,33,442,0.0746606334841629,0.3416289592760181,"rgb(254,255,190)"
30,330,3,15–20%,27,442,0.06108597285067873,0.416289592760181,"rgb(251,157,89)"
30,330,4,≥20%,131,442,0.29638009049773756,0.47737556561085975,"rgb(189,23,38)"
30,330,5,not lit,100,442,0.22624434389140272,0.7737556561085973,"rgb(140,140,140)"
30,345,0,0–5%,200,924,0.21645021645021645,0,"rgb(12,127,67)"
30,345,1,5–10%,103,924,0.11147186147186147,0.21645021645021645,"rgb(150,210,104)"
30,345,2,10–15%,89,924,0.09632034632034632,0.32792207792207795,"rgb(254,255,190)"
30,345,3,15–20%,50,924,0.05411255411255411,0.42424242424242425,"rgb(251,157,89)"
30,345,4,≥20%,256,924,0.27705627705627706,0.47835497835497837,"rgb(189,23,38)"
30,345,5,not lit,226,924,0.24458874458874458,0.7554112554112554,"rgb(140,140,140)"
45,0,0,0–5%,39,290,0.13448275862068965,0,"rgb(12,127,67)"
45,0,1,5–10%,36,290,0.12413793103448276,0.13448275862068965,"rgb(150,210,104)"
45,0,2,10–15%,20,290,0.06896551724137931,0.2586206896551724,"rgb(254,255,190)"
45,0,3,15–20%,12,290,0.041379310344827586,0.3275862068965517,"rgb(251,157,89)"
45,0,4,≥20%,103,290,0.35517241379310344,0.36896551724137927,"rgb(189,23,38)"
45,0,5,not lit,80,290,0.27586206896551724,0.7241379310344827,"rgb(140,140,140)"
45,15,0,0–5%,122,637,0.19152276295133439,0,"rgb(12,127,67)"
45,15,1,5–10%,83,637,0.130298273155416,0.19152276295133439,"rgb(150,210,104)"
45,15,2,10–15%,43,637,0.06750392464678179,0.3218210361067504,"rgb(254,255,190)"
