latitude,id,family,m,ratio,cost,error,numerator,denominator,color,selected
30,b2fef391172656c1,SF,2,0.02,0.1239432083367995,0.09805381088621073,475475.1048803579,4849124.175623691,#54A24B,false
30,96a6ae5dfa507555,SF,2,0.05,0.14998204137609747,0.06934533124610087,336264.12221210066,4849124.175623691,#54A24B,false
30,7d1bf613519e8cb1,SF,2,0.1,0.19472278254557146,0.052024223536865505,252271.92007066554,4849124.175623691,#54A24B,false
30,528e26e84cee2430,SF,2,0.2,0.28428266736959457,0.035523429495304036,172257.52076674247,4849124.175623691,#54A24B,false
30,d8cc553777aeb66e,SF,2,0.35,0.4183505838464493,0.022340707430949867,108332.86450395484,4849124.175623691,#54A24B,false
30,38266c7b3de97021,SF,2,0.5,0.5526031930270556,0.014093583404225925,68341.53600660077,4849124.175623691,#54A24B,false
30,6edbb8097bc77054,MF+SF,3,0.01,0.16779767327368758,0.1297388414695315,629119.7526873146,4849124.175623691,#B279A2,false
30,cb391d3977990c10,MF+SF,3,0.02,0.17547596078757602,0.09965200488328324,483224.9460288989,4849124.175623691,#B279A2,false
30,41a0c11fb367a663,MF+SF,3,0.05,0.1999830977657388,0.06440913761798578,312327.9063544481,4849124.175623691,#B279A2,false
30,8dc245111c8c0751,MF+SF,3,0.1,0.24209203063112605,0.04512812852114871,218831.89901255522,4849124.175623691,#B279A2,false
30,bea9a221692984be,MF+SF,3,0.2,0.32638368693608905,0.028294197743436205,137202.07830757377,4849124.175623691,#B279A2,false
30,b2822fa3c084ca0c,MF+SF,3,0.35,0.4525652553848934,0.015800211423920154,76617.18719569684,4849124.175623691,#B279A2,false
30,7a575b5bdbd82d08,MF+SF,3,0.5,0.5789206522607582,0.008741101025565353,42386.68430463799,4849124.175623691,#B279A2,false
30,c1795dfd90543d9f,SF,3,0.01,0.16779767327368758,0.10851429585740358,526199.2954429174,4849124.175623691,#B279A2,false
30,0dfbc6fb684fecfc,SF,3,0.02,0.17547596078757602,0.0819134403759659,397208.444035606,4849124.175623691,#B279A2,false
30,d8cd672cd8470116,SF,3,0.05,0.1999830977657388,0.05548366933954559,269047.20234670147,4849124.175623691,#B279A2,false
30,c5565005198482df,SF,3,0.1,0.24209203063112605,0.03989650811829686,193463.12203940016,4849124.175623691,#B279A2,false
30,9473b128e73baa7f,SF,3,0.2,0.32638368693608905,0.025391954752671014,123128.74165751989,4849124.175623691,#B279A2,true
30,17e14e38b27d877e,SF,3,0.35,0.4525652553848934,0.01438392942713499,69749.45992558531,4849124.175623691,#B279A2,false
30,5efbca017834c43c,SF,3,0.5,0.5789206522607582,0.008086900756597864,39214.38596468821,4849124.175623691,#B279A2,false
45,6cd52c9bc8413fd0,MF,0,0.01,0.011759737012504018,0.25135751198517015,939919.3379095898,3739372.3803450284,#4C78A8,false
45,c84bdea16f32f98f,MF,0,0.02,0.020877703435246517,0.2100080357576985,785298.2485628489,3739372.3803450284,#4C78A8,false
45,92509a4487fb049e,MF,0,0.05,0.04997992859681482,0.16185580107138778,605239.1121249667,3739372.3803450284,#4C78A8,false
45,84910c2b0412848d,MF,0,0.1,0.09998428637446223,0.13227275360753024,494617.08151218185,3739372.3803450284,#4C78A8,false
45,031f112e5c4cf361,MF,0,0.2,0.20008062823660575,0.10222122885621576,382243.23986986146,3739372.3803450284,#4C78A8,false
45,3707057ec933dfea,MF,0,0.35,0.34992124076956094,0.07560139430993071,282701.7657981287,3739372.3803450284,#4C78A8,false
45,4acb6086578a45d2,MF,0,0.5,0.49996827455965037,0.058809636245209955,219911.129473476,3739372.3803450284,#4C78A8,false
45,910b849b9f88b2ce,MF+SF,1,0.01,0.06377238243289854,0.18016236322393667,673694.1650172777,3739372.3803450284,#F58518,false
45,eb7cf93e607fec24,MF+SF,1,0.02,0.07241045588602302,0.14009757680452498,523877.00925610703,3739372.3803450284,#F58518,false
45,2ee080f94d11e0eb,MF+SF,1,0.05,0.09998098498645615,0.09636827343254303,360356.860015189,3739372.3803450284,#F58518,false
45,1409585c91dc73a1,MF+SF,1,0.1,0.14735353446001684,0.07145764128700241,267206.7301932194,3739372.3803450284,#F58518,false
45,b24801b3365fed68,MF+SF,1,0.2,0.24218164780310017,0.04838409715038748,180926.15653208955,3739372.3803450284,#F58518,false
